Id,Price
4567,157616.35649685617
5925,122930.01879598586
960,136015.01289129804
3848,96605.90551951494
746,182360.44486753392
868,354692.78304407606
672,115914.89665628501
2471,211152.12575896748
4510,113402.26781570526
8354,237515.27790183577
6393,180671.50922400944
13270,221133.20312252847
5250,296710.0950514647
16751,172821.98856927233
11404,132205.89230952057
10588,368986.79952232493
14925,190701.20178113444
6791,216316.4545187892
16097,179924.89031268537
16428,374589.6292043983
6945,336249.9570692533
3190,185194.50023781857
15709,440475.5207670748
13155,156962.2674474124
7675,197783.5659163353
14686,240390.58121215028
609,157237.60470316824
11155,151383.0573092683
10869,207082.66766611114
15742,185541.25454526878
9245,194171.26354247922
3340,159215.5836312428
2359,272413.5017884112
8070,189601.43443031047
13707,127312.24631347932
16079,282949.1008731013
15937,287406.75910012756
14090,186989.85065158663
9008,218638.6440162822
16384,168479.87689097106
11657,247782.00381781516
13151,138807.02725832397
8990,156059.97589681367
11857,181167.98250449743
1565,152511.16119858678
8174,111989.64607694396
9247,250965.6461951874
10478,211921.3094801066
15509,141585.36029606787
8306,214347.94180819832
6642,182688.66911837037
7472,228554.02338116002
15989,128209.38702076985
13682,127445.74989359763
163,250052.9355419766
7076,196342.86010659844
7478,330067.84045615274
3029,185986.63327572943
1814,134797.6263058843
10057,129651.00214250195
15100,188684.16298812395
12694,226905.7320142089
6291,179951.66311168534
12603,180155.599111108
3218,234565.18348759087
13456,122007.4667808163
10170,241944.40813336804
4530,152685.62158261993
13329,165073.9365264054
4820,144550.1931048959
10896,173976.0759819571
13416,118924.62775892741
2701,235664.49908916582
11265,333237.93487996055
9189,257981.8836490661
1858,202363.85491081825
14536,238931.22121625982
6199,293095.60267343273
14730,150025.0462868276
7510,264511.494884873
15505,167294.50904918215
7446,196252.94862378153
14016,198161.44536107927
14113,100402.33031647498
8721,313110.37139473413
6193,321951.20576799876
5717,177953.65700846692
5427,315806.0429020411
9520,543035.7646681066
6869,96562.78247902943
1658,151346.72676374362
6639,227491.88768223516
6283,191127.77436084443
6257,123915.41869726892
15235,176484.39887955168
902,233096.4292138377
8932,195242.8291194835
16469,349895.41347828304
2825,277216.04022808495
6450,451834.2232434146
11366,177176.24273199192
3801,381229.7657985148
11385,197072.48390360575
1079,201554.40056873974
3202,253187.55209257224
676,229189.11121374622
6185,290692.64899553254
7730,165599.83779344853
2573,175529.82491389685
10978,206541.36193348735
10962,258598.8035461403
8870,198836.34039481342
8496,180565.90678566098
5517,171872.06408633373
927,181971.90030918972
13675,204004.88225844374
1499,233265.7434510855
15536,359714.7773962748
8602,352030.12273860833
12137,442229.79016838974
9865,272482.64742057165
16353,292282.3512747124
15908,218524.97088291345
3944,181564.87240584957
10359,205159.30010446717
15158,226944.0718929692
3259,238820.7041608484
7220,318941.9563210313
13843,213396.57594802402
16736,179175.36090073673
702,261116.39998670033
16401,88348.7258746453
12134,176978.62687880476
6918,212639.96873803053
11792,123904.14999518357
3798,103749.8289745119
10395,132724.63723346652
11099,138610.68730320228
7090,198895.60847885962
11260,187759.59706578063
9647,211219.90411124803
2903,371135.3332362395
2071,184466.77344639905
8604,199251.10845037908
